0.10372	0.87833	0.55295
0.89628	0.62167	0.05295
0.89628	0.12167	0.44705
0.10372	0.37833	0.94705
0.0429	0.93574	0.43509
0.9571	0.56426	0.93509
0.9571	0.06426	0.56491
0.0429	0.43574	0.06491
0.49328	0.73694	0.18526
0.50672	0.76306	0.68526
0.50672	0.26306	0.81474
0.49328	0.23694	0.31474
0.42466	0.66367	0.25306
0.57534	0.83633	0.75306
0.57534	0.33633	0.74694
0.42466	0.16367	0.24694
0.4275	0.66829	0.43431
0.5725	0.83171	0.93431
0.5725	0.33171	0.56569
0.4275	0.16829	0.06569
0.48779	0.74937	0.50483
0.51221	0.75063	0.00483
0.51221	0.25063	0.49517
0.48779	0.24937	0.99517
0.36255	0.60984	0.5301
0.63745	0.89016	0.0301
0.63745	0.39016	0.4699
0.36255	0.10984	0.9699
0.29042	0.66251	0.44725
0.70958	0.83749	0.94725
0.70958	0.33749	0.55275
0.29042	0.16251	0.05275
0.23354	0.73348	0.56408
0.76646	0.76652	0.06408
0.76646	0.26652	0.43592
0.23354	0.23348	0.93592
0.16823	0.79791	0.45973
0.83177	0.70209	0.95973
0.83177	0.20209	0.54027
0.16823	0.29791	0.04027
