0.38405	0.61934	0.17913
0.61595	0.88066	0.67913
0.61595	0.38066	0.82087
0.38405	0.11934	0.32087
0.36837	0.48809	0.53725
0.63163	0.51191	0.46275
0.36837	0.98809	0.96275
0.63163	0.01191	0.03725
0.36293	0.65831	0.64181
0.63707	0.84169	0.14181
0.63707	0.34169	0.35819
0.36293	0.15831	0.85819
0.30214	0.74597	0.36335
0.69786	0.75403	0.86335
0.69786	0.25403	0.63665
0.30214	0.24597	0.13665
0.26765	0.56684	0.39303
0.73235	0.93316	0.89303
0.73235	0.43316	0.60697
0.26765	0.06684	0.10697
0.21705	0.64677	0.64025
0.78295	0.85323	0.14025
0.78295	0.35323	0.35975
0.21705	0.14677	0.85975
0.25701	0.82379	0.62584
0.74299	0.67621	0.12584
0.74299	0.17621	0.37416
0.25701	0.32379	0.87416
0.18857	0.8793	0.382
0.81143	0.6207	0.882
0.81143	0.1207	0.618
0.18857	0.3793	0.118
0.14712	0.70598	0.39642
0.85288	0.79402	0.89642
0.85288	0.29402	0.60358
0.14712	0.20598	0.10358
0.08205	0.79874	0.63091
0.91795	0.70126	0.13091
0.91795	0.20126	0.36909
0.08205	0.29874	0.86909
0.12352	0.9731	0.61396
0.87648	0.5269	0.11396
0.87648	0.0269	0.38604
0.12352	0.4731	0.88604
0.01087	0.06519	0.51339
0.98913	0.43481	0.01339
0.01087	0.56519	0.98661
0.98913	0.93481	0.48661
0.05289	0.04938	0.40034
0.94711	0.45062	0.90034
0.05289	0.54938	0.09966
0.94711	0.95062	0.59966
0.04517	0.8622	0.33789
0.95483	0.6378	0.83789
0.95483	0.1378	0.66211
0.04517	0.3622	0.16211
